title,year,img file name,material,size,URL
Sky Mirror,2006,248.jpg,Stainless steel,Diameter 10m,http://anishkapoor.com/273/sky-mirror-3
S–Curve,2006,249.jpg,Stainless steel,216.5×975.4×121.9 cm,http://anishkapoor.com/119/s-curve
Green to Purple,2006,250.jpg,Aluminium and paint,220×220×47 cm,http://anishkapoor.com/6805/green-to-purple
Untitled,2006,251.jpg,Gouache on paper,50×67cm,http://anishkapoor.com/824/untitled-30
"Past, Present, Future",2006,252.jpg,Wax and oil-based paint,345×890×445 cm,http://anishkapoor.com/137/past-present-future
White Dark XIII,2005,253.jpg,Fibreglass and paint,140×140×36 cm,http://anishkapoor.com/6051/white-dark-xiii
Dark Brother,2005,254.jpg,,None,http://anishkapoor.com/237/dark-brother-2
Up Down Shadow,2005,255.jpg,"Wood, wax and oil based paint",172×172×101.5 cm,http://anishkapoor.com/417/up-down-shadow
Untitled,2005,256.jpg,"Wood, fibreglass, aluminium and rubber",213×152.5×61 cm,http://anishkapoor.com/393/untitled-31
Untitled,2005,257.jpg,Fibreglass and rubber,128×128×54 cm,http://anishkapoor.com/133/untitled-32
Moon Shadow,2005,258.jpg,Wood and wax,126×90×49 cm,http://anishkapoor.com/134/moon-shadow
Negative Box Shadow,2005,259.jpg,"Wood, rubber and aluminium",180.5×201×77.5 cm,http://anishkapoor.com/422/negative-box-shadow
Underground,2005,260.jpg,Concrete and iron,825×400 cm,http://anishkapoor.com/129/underground
Elephant,2005,261.jpg,Resin and paint,145×244×42 cm,http://anishkapoor.com/897/elephant
Untitled,2005,262.jpg,"Steel, resin, grease and paint",63×235×173 cm,http://anishkapoor.com/678/untitled-34
Untitled,2005,263.jpg,Gouache on paper,50.5×66.5 cm,http://anishkapoor.com/825/untitled-33
Sister,2005,264.jpg,"Fibreglass, wood and paint",Dimensions variable,http://anishkapoor.com/813/sister
Vortex,2004,265.jpg,"Wood, fibreglass and lacquer",Diametre 150 cm,http://anishkapoor.com/6648/vortex
White Dark XII,2004,266.jpg,"Wood, fibreglass and paint",122.5×122.5×57 cm,http://anishkapoor.com/6047/white-dark-xii
Leviathan,2004,267.jpg,Mixed media,273×160×110 cm,http://anishkapoor.com/726/leviathan-4
Melancholia,2004,268.jpg,PVC and steel,"6.8×11.2×36 m",http://anishkapoor.com/609/melancholia
Eight Eight,2004,269.jpg,Onyx,281×195×146 cm,http://anishkapoor.com/4543/eight-eight
Aima,2004,270.jpg,"Wood, plexiglas and light",diametre 60 cm,http://anishkapoor.com/734/untitled-37
Widow,2004,271.jpg,PVC and steel,4.32×14.66 m,http://anishkapoor.com/992/widow
Cloud Gate,2004,272.jpg,Stainless steel,"10×20×12.8 m",http://anishkapoor.com/110/cloud-gate-2
Whiteout,2004,273.jpg,Fibreglass and paint,118×141×141 cm,http://anishkapoor.com/5050/whiteout
L’Origine du monde,2004,274.jpg,Concrete and pigment,"21st Century Museum of Contemporary Art, Kanazawa",http://anishkapoor.com/80/origine-du-monde
Grace,2004,275.jpg,Vigaria marble,291×170×150 cm,http://anishkapoor.com/984/grace
Untitled,2003,276.jpg,Granite,276×130×87 cm,http://anishkapoor.com/6690/untitled-174
White Dark XI,2003,277.jpg,Fibreglass and paint,112×112×43 cm,http://anishkapoor.com/6044/white-dark-xi
Mama,2003,278.jpg,Marble,Dimensions variable,http://anishkapoor.com/4838/mama
Upside Down / Inside Out,2003,279.jpg,Resin and paint,245×405×204 cm,http://anishkapoor.com/1057/upside-down-inside-out
Pillar,2003,280.jpg,Steel and lacquer,250×150×150 cm,http://anishkapoor.com/420/pillar
Ishi’s Light,2003,281.jpg,Fibreglass and paint,315×258×244cm ,http://anishkapoor.com/112/ishis-light
Ode to Peter,2003,282.jpg,Computer-operated coloured neon light,500×1300×70 cm,http://anishkapoor.com/553/ode-to-peter
Imagine Blue,2003,283.jpg,Pigment and light,dimensions variable,http://anishkapoor.com/554/imagine-blue
Ascension,2003,284.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/190/ascension
The World Turned Outside In,2003,285.jpg,Stainless steel,153.5×61×272.5 cm,http://anishkapoor.com/4549/the-world-turned-outside-in
Wave,2003,286.jpg,Aluminium and paint,230×230×53cm,http://anishkapoor.com/106/wave
Mollis,2003,287.jpg,Marble,95×300×161 cm,http://anishkapoor.com/6382/mollis
Mountain with Sun and Moon,2003,288.jpg,Marble,100×100×100 cm,http://anishkapoor.com/6355/mountain-with-sun-and-moon
Pool,2003,289.jpg,Stainless steel and lacquer,230×230×52 cm,http://anishkapoor.com/5750/pool
Wound I,2003,290.jpg,paint and wax on canvas,244×183 cm,http://anishkapoor.com/578/wound-i
San Gennaro,2003,291.jpg,"Steel, water and dye",Dimensions variable,http://anishkapoor.com/431/san-gennaro
My Red Homeland,2003,292.jpg,"Wax and oil-based paint, steel arm and motor",Diameter: 12 m ,http://anishkapoor.com/136/my-red-homeland
Turning Water Into Mirror Blood Into Sky,2003,293.jpg,"Steel, water and motor",173×300×300 cm,http://anishkapoor.com/99/turning-water-into-mirror-blood-into-sky
My Red Homeland III,2003,294.jpg,Gouache on paper,37.5×56.5 cm,http://anishkapoor.com/827/my-red-homeland-iii
Alba,2003,295.jpg,Stainless steel and lacquer,230×230×53 cm,http://anishkapoor.com/105/alba
Untitled,2002,296.jpg,Stainless steel,160×160×17 cm,http://anishkapoor.com/6116/untitled-137
White Dark X,2002,297.jpg,Fibreglass and paint,141×141×35 cm,http://anishkapoor.com/6042/white-dark-x
White Dark IX,2002,298.jpg,"Fibreglass, wood and paint",183×183×57.5 cm,http://anishkapoor.com/6032/white-dark-ix
Untitled,2002,299.jpg,Stainless steel,160×160×39 cm,http://anishkapoor.com/6024/untitled-129
Torus,2002,300.jpg,Stainless steel,120×120×49.5 cm,http://anishkapoor.com/4659/torus
Untitled,2002,301.jpg,"Johanniterkirche Feldkirch, 2003","Stainless steel",http://anishkapoor.com/733/untitled-38
Untitled,2002,302.jpg,Gouache on paper,30×45 cm,http://anishkapoor.com/828/untitled-39
Marsyas,2002,303.jpg,PVC and steel,35×23×155 m,http://anishkapoor.com/126/marsyas
Mountain,2001,304.jpg,Aluminium,255×500×281 cm,http://anishkapoor.com/6884/mountain-11
Liver,2001,305.jpg,Marble,164×225×126 cm,http://anishkapoor.com/4539/liver
Blood,2001,306.jpg,Fibreglass and lacquer,53.2×94×94 cm,http://anishkapoor.com/6803/blood-2
Remember the Mountains,2001,307.jpg,Marble,191×109×92 cm,http://anishkapoor.com/1056/remember-the-mountains
Sky Mirror,2001,308.jpg,Stainless steel,"Diameter 575 cm",http://anishkapoor.com/550/sky-mirror-4
Space as an Object,2001,309.jpg,Acrylic,93.7×93.7×93.7 cm,http://anishkapoor.com/773/space-as-an-object
MV,2001,310.jpg,Gouache on paper,50.5×66.5 cm,http://anishkapoor.com/829/mv
Untitled,2001,311.jpg,Gouache on paper,50×67 cm,http://anishkapoor.com/830/untitled-40
Vein,2001,312.jpg,"Dye, PVC pipe and water.",147.3×10.2×2 cm,http://anishkapoor.com/397/vein
Untitled,2000,313.jpg,Stainless steel and lacquer,120×120×27.5 cm,http://anishkapoor.com/6123/untitled-139
White Dark VIII,2000,314.jpg,Fibreglass and paint,160×160×64 cm,http://anishkapoor.com/6039/white-dark-viii
7 Ways In,2000,315.jpg,Stainless steel and lacquer,152×104×96 cm,http://anishkapoor.com/102/7-ways-in
"Apparitions, Reflections and Dreams",2000,316.jpg,Resin and paint,180×60×120 cm,http://anishkapoor.com/89/apparitions-reflections-and-dreams
Blood Cinema,2000,317.jpg,Acrylic and steel,197×197×51 cm,http://anishkapoor.com/566/blood-cinema
Blood Solid III,2000,318.jpg,"Fibreglass and paint, rubber hose and compressor",Dimensions variable,http://anishkapoor.com/423/blood-solid-iii
Blood Solid II,2000,319.jpg,Resin and paint,64×36×35 cm,http://anishkapoor.com/103/blood-solid-ii
Blood Mirror,2000,320.jpg,Stainless steel and lacquer,198.5×198.5×46cm,http://anishkapoor.com/100/blood-mirror
Blood,2000,321.jpg,Fibreglass and lacquer,15×231×122cm,http://anishkapoor.com/101/blood
Untitled,2000,322.jpg,Gouache on paper,77×56.5 cm,http://anishkapoor.com/831/untitled-41
Imminence,2000,323.jpg,Onyx,180×167×88 cm,http://anishkapoor.com/967/imminence
Taratantara (Naples),2000,324.jpg,PVC and steel,"Piazza del Plebiscito Naples, 2000",http://anishkapoor.com/457/taratantara-naples-2
White Dark VII,1999,325.jpg,Fibreglass and paint,141×141×91 cm,http://anishkapoor.com/6037/white-dark-vii
Untitled,1999,326.jpg,Stainless steel and paint,196.5×196.5×47 cm,http://anishkapoor.com/4555/untitled-85
Taratantara (Gateshead),1999,327.jpg,PVC and steel,51.8×32.6×16 m,http://anishkapoor.com/124/taratantara-gateshead
Untitled,1999,328.jpg,Gouache on paper,55×75 cm,http://anishkapoor.com/833/untitled-42
Yellow,1999,329.jpg,Fibreglass and pigment,6×6×3 m,http://anishkapoor.com/81/yellow
Untitled,1999,330.jpg,Bronze,446×125×109 cm,http://anishkapoor.com/559/untitled-43
White Dark V,1998,331.jpg,"Fibreglass, wood and paint",151×151×151 cm,http://anishkapoor.com/6034/white-dark-v
Turning the Word Upside Down IV,1998,332.jpg,Stainless steel,200×200×168 cm,http://anishkapoor.com/6363/turning-the-word-upside-down-iv
Untitled,1998,333.jpg,Mixed media and pigment,94×94 cm,http://anishkapoor.com/6359/untitled-156
Wounds and Absent Objects,1998,None,video projection,7'13'' loop,http://anishkapoor.com/602/wounds-and-absent-objects
Double Mirror,1998,335.jpg,Double Mirror,"Stainless steel",http://anishkapoor.com/606/double-mirror
The Eye in the Stone,1998,336.jpg,Granite,"300×300×200 cm",http://anishkapoor.com/986/the-eye-in-the-stone
At the Edge of the World,1998,337.jpg,Fibreglass and pigment,500×800×800 cm,http://anishkapoor.com/83/at-the-edge-of-the-world
"Resin, Air, Space II",1998,338.jpg,Resin,69×152.5×68.3 cm,http://anishkapoor.com/608/resin-air-space-ii
Iris,1998,339.jpg,Stainless steel,Diametre 140cm,http://anishkapoor.com/91/iris
Untitled,1998,340.jpg,Gouache on paper,57.5×75 cm,http://anishkapoor.com/834/untitled-45
Suck,1998,341.jpg,Stainless steel,200×270×270 cm,http://anishkapoor.com/93/suck
White Dark VI,1998,342.jpg,Fibreglass and paint,300×300×140 cm,http://anishkapoor.com/987/white-dark-vi
Her Blood,1998,343.jpg,Stainless steel and lacquer,348×348×41.6 cm (each),http://anishkapoor.com/98/her-blood
Untitled,1998,344.jpg,Fibreglass and paint,243×335×162 cm,http://anishkapoor.com/263/untitled-44
"Resin, Air, Space",1998,345.jpg,Resin,53×105×104.5 cm,http://anishkapoor.com/96/resin-air-space
Untitled,1994,346.jpg,Ceramic and glaze,28×67×46 cm,http://anishkapoor.com/6167/untitled-149
Untitled,1997,347.jpg,Ceramic and glaze,,http://anishkapoor.com/6165/untitled-148
Untitled,1997,348.jpg,Kilkenny limestone,159×151×115 cm,http://anishkapoor.com/6162/untitled-147
Untitled,1994,349.jpg,Ceramic,40×74×58 cm,http://anishkapoor.com/6160/untitled-146
Untitled,1997,350.jpg,Alabaster,80×112×28 cm,http://anishkapoor.com/6158/untitled-145
Untitled,1997,351.jpg,Alabaster,96×95×34 cm,http://anishkapoor.com/6152/untitled-144
Plug,1997,352.jpg,Felt and wool,185.5×63.5×28 cm,http://anishkapoor.com/6150/plug
Untitled,1997,353.jpg,"Felt, wool and fibreglass",137×285×74 cm,http://anishkapoor.com/6146/untitled-143
India,1997,354.jpg,Wool and plaster,221×147×35.5 cm,http://anishkapoor.com/6143/india
Untitled,1997,355.jpg,Alabaster,79×100×30 cm,http://anishkapoor.com/6140/untitled-142
Untitled,1997,356.jpg,Alabaster,135×126×60 cm,http://anishkapoor.com/6137/untitled-141
Untitled,1997,357.jpg,Stainless steel,250×250×60 cm,http://anishkapoor.com/6135/untitled-140
Mirror,1997,358.jpg,Kilkenny limestone,208×178×51 cm,http://anishkapoor.com/6130/mirror
Red Holes To…,1997,359.jpg,Felt and wool,44.5×183×188 cm,http://anishkapoor.com/6128/red-holes
Body to Body,1997,360.jpg,Wool and fibreglass,292×147×275 cm,http://anishkapoor.com/3914/body-to-body
Cloak,1997,361.jpg,Felt and pigment,86.5×335×274,http://anishkapoor.com/6099/cloak-2
Untitled,1997,362.jpg,Alabaster,90×80×29 cm,http://anishkapoor.com/6095/untitled-136
Untitled,1997,363.jpg,Alabaster,70×125×73 cm,http://anishkapoor.com/6092/untitled-135
Untitled,1997,364.jpg,Granite,Dimensions variable,http://anishkapoor.com/6090/untitled-134
Untitled,1997,365.jpg,Stainless steel,157×160×81 cm,http://anishkapoor.com/6084/untitled-132
No.8,1997,366.jpg,Alabaster,120×76×32 cm,http://anishkapoor.com/6082/untitled-133
Untitled,1997,367.jpg,Marble,170×168×65 cm,http://anishkapoor.com/6346/untitled-155
Untitled,1997,368.jpg,Alabaster,110×60×56 cm,http://anishkapoor.com/6341/untitled-154
Untitled,1997,369.jpg,Alabaster,102×78×29 cm,http://anishkapoor.com/6339/untitled-153
No.3,1997,370.jpg,Alabaster,67×117×166 cm,http://anishkapoor.com/6326/untitled-152
Volterra,1997,371.jpg,Marble,295×175×128 cm,http://anishkapoor.com/6322/volterra
Untitled,1994,372.jpg,Ceramic,46.6×44×61.5 cm,http://anishkapoor.com/6320/untitled-151
Red Proverbs,1997,373.jpg,Felt,75.5×75.5×75.5 cm,http://anishkapoor.com/6315/red-proverbs
In the Beginning,1997,374.jpg,"Plaster, resin, oil-paint and pigment",135×238×195 cm,http://anishkapoor.com/725/in-the-beginning
Untitled,1997,375.jpg,Alabaster,96 x 70 x 29 cm,http://anishkapoor.com/645/untitled-46
No.7,1997,376.jpg,Alabaster,73×68×29 cm,http://anishkapoor.com/646/untitled-47
"Untitled, Untitled, Making the World Many",1997,377.jpg,left to right:,"Stainless steel",http://anishkapoor.com/713/untitled-untitled-making-the-world-many
Untitled,1997,378.jpg,Kilkenny limestone,274×145×178 cm,http://anishkapoor.com/804/untitled-48
Untitled,1997,379.jpg,stainless steel,197.5×99.5×99.5 cm,http://anishkapoor.com/787/untitled-49
Untitled,1997,380.jpg,Fibreglass and gold leaf,200×200×160 cm,http://anishkapoor.com/1055/untitled-50
Ghost,1997,381.jpg,Kilkenny limestone,195×140×120cm,http://anishkapoor.com/88/ghost
Untitled,1997,382.jpg,Gouache on paper,56×75 cm,http://anishkapoor.com/835/untitled-51
The Healing of St. Thomas,1996,383.jpg,Felt,100×100 cm,http://anishkapoor.com/6101/the-healing-of-st-thomas-3
The Holocaust Memorial,1996,384.jpg,"The Liberal Jewish Synagogue, London","",http://anishkapoor.com/6077/the-holocaust-memorial
Untitled (XIX),1996,385.jpg,"Gourds, acrylic medium and pigment",24.5×25×74 cm,http://anishkapoor.com/6075/untitled-xix
Untitled,1996,386.jpg,Bronze,40×40×36 cm,http://anishkapoor.com/6072/untitled-131
Double Mirror,1996   ,387.jpg,"Kunst-Station Station Sankt Peter, Cologne","",http://anishkapoor.com/6069/double-mirror-2
Untitled,1996,388.jpg,Aluminium and pigment,202×202×25 cm,http://anishkapoor.com/6067/untitled-130
Mountain,1996,389.jpg,Wood and paint,210×116×214 cm,http://anishkapoor.com/6065/mountain-10
Turning the World Upside Down again,1996,390.jpg,Stainless steel,189×189×26.5 cm,http://anishkapoor.com/6063/turning-the-world-upside-down-again
Frauenkirche Altarpiece,1996,391.jpg,"Frauenkirche, Dresden",Kilkenny Limestone,http://anishkapoor.com/6061/frauenkirche-altarpiece
Untitled,1996,392.jpg,Aluminium and pigment,13×13×13 cm,http://anishkapoor.com/5996/untitled-127
The Healing of St.Thomas,1996,393.jpg,Felt,100×100 cm,http://anishkapoor.com/5992/the-healing-of-st-thomas-2
Untitled,1996,394.jpg,Concrete,241×150×119 cm,http://anishkapoor.com/76/untitled-52
Untitled,1996,395.jpg,Wood and pigment,Dimensions variable,http://anishkapoor.com/77/untitled-53
Untitled,1996,396.jpg,Gouache on paper,40×57 cm,http://anishkapoor.com/838/untitled-54
Untitled,1996,397.jpg,Gouache and pencil on paper,,http://anishkapoor.com/837/untitled-55
Untitled,1995,398.jpg,Sandstone,106×101×96 cm,http://anishkapoor.com/4553/untitled-84
White Dark III,1995,399.jpg,"Wood, fibreglass and paint",206×152.6×127.8,http://anishkapoor.com/5683/white-dark-iii
Untitled,1995,400.jpg,Sandstone,180×135×88 cm,http://anishkapoor.com/5675/untitled-113
Untitled,1995,401.jpg,Sandstone,188×150×175 cm,http://anishkapoor.com/5672/untitled-112
White Dark II,1995,402.jpg,"Wood, fibreglass and paint",206×153.6×127.8 cm,http://anishkapoor.com/5669/white-dark-ii
Oblivion IV,1995,403.jpg,Fibreglass and pigment,105×115×105 cm,http://anishkapoor.com/5665/oblivion-iv
White Dark I,1995,404.jpg,"Wood, fibreglass and paint",206×152.6×127.8 cm,http://anishkapoor.com/5055/white-dark-i
Earth Cinema,1995,405.jpg,"Length 45m, depth 7 metres","Installed Arte Pollino, Basilicata, Italy, 2009",http://anishkapoor.com/463/earth-cinema
White Dark IV,1995,406.jpg,"Fibreglass, wood and paint",206×153×128 cm,http://anishkapoor.com/424/white-dark-iv
Untitled,1995,407.jpg,Aluminium,149×98×99 cm,http://anishkapoor.com/596/untitled-56
Cloud,1995,408.jpg,"Wood, fibreglass and paint",206×152×127 cm,http://anishkapoor.com/394/cloud
Untitled,1995,409.jpg,Gouache on paper,28.5×38 cm,http://anishkapoor.com/839/untitled-57
Turning the World Inside Out II,1995,410.jpg,Chromed bronze,180×180×130cm,http://anishkapoor.com/92/turning-the-world-inside-out-ii
Turning the World Inside Out,1995,411.jpg,Stainless steel,"",http://anishkapoor.com/95/turning-the-world-inside-out
Mountain,1995,412.jpg,Aluminium,"317.5×404.5×249 cm",http://anishkapoor.com/937/mountain-2
Turning the World Upside Down,1995,413.jpg,Stainless steel,120×120×120cm,http://anishkapoor.com/94/turning-the-world-upside-down-2
Turning the World Upside Down II,1995,414.jpg,Chromed bronze,180×180×130 cm,http://anishkapoor.com/425/turning-the-world-upside-down-ii
Untitled,1995 ,415.jpg,Fibreglass and pigment,202.5×202.5 cm,http://anishkapoor.com/84/untitled-58
Untitled VIII,1995,416.jpg,"Gourd, acrylic and pigment",125×17×22 cm,http://anishkapoor.com/655/untitled-viii
Untitled,1995,417.jpg,"Gourd, acrylic and pigment",None,http://anishkapoor.com/656/untitled-59
Untitled,1994,418.jpg,Marble,170×150×100 cm,http://anishkapoor.com/4707/untitled-91
Untitled,1994,419.jpg,Limestone,167.5×96.5×101.6 cm,http://anishkapoor.com/4704/untitled-90
Oblivion,1994,420.jpg,Limestone,Dimensions variable,http://anishkapoor.com/4534/oblivion
Mountain,1994,421.jpg,Cast iron,"285×420×210 cm",http://anishkapoor.com/4432/mountain-3
Untitled,1994,422.jpg,Ceramic and glaze,,http://anishkapoor.com/5722/untitled-118
Untitled,1994,423.jpg,Ceramic,33.5×38.5×50 cm,http://anishkapoor.com/5720/untitled-117
Untitled,1994,424.jpg,Ceramic,42×44.5×76,http://anishkapoor.com/5716/untitled-116
Void,1994,425.jpg,Fibreglass and pigment,110×110×86 cm,http://anishkapoor.com/5695/void-3
Mountain,1994,426.jpg,Fibreboard and paint,38.3×52×92 cm,http://anishkapoor.com/5693/mountain-9
Mountain,1994,427.jpg,Fibreboard and paint,39.3×116×118 cm,http://anishkapoor.com/5691/mountain-8
Mountain,1994,428.jpg,Fibreboard and paint,66×106×245 cm,http://anishkapoor.com/5689/mountain-7
Mountain,1994,429.jpg,Fibreboard and paint,89×120×241 cm,http://anishkapoor.com/5687/mountain-6
Mountain,1994,430.jpg,Fibreboard and wood,37.3×95×80 cm,http://anishkapoor.com/5685/mountain-5
Mountain,1994,431.jpg,Fibreboard and paint,156.6×125×248 cm ,http://anishkapoor.com/4434/untitled-80
Untitled,1994–1995,432.jpg,Kilkenny limestone,203×140×125 cm,http://anishkapoor.com/412/untitled-60
"Portrait of Light, Picture of Space",1993,433.jpg,"Wood, paint and pigment",198.5×107×5.2 cm,http://anishkapoor.com/4455/portrait-of-light-picture-of-space
Echo,2003,434.jpg,In collaboration with Brian Elias,"Wood, patinated bronze, ceramic, acrylic and gouache, musical mechanism ",http://anishkapoor.com/4711/echo
Untitled,1993,435.jpg,Plaster and pigment,189.5×76.5×166 cm,http://anishkapoor.com/4662/untitled-88
Untitled,1993,436.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/4624/untitled-87
Untitled,1993,437.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/4463/untitled-81
In the Presence of Form II,1993,438.jpg,Portland stone,175×201×122 cm,http://anishkapoor.com/4461/in-the-presence-of-form-ii
Black Stones Human Bones,1993,439.jpg,Marble,Dimensions variable,http://anishkapoor.com/4459/black-stones-human-bones
Passage,1993,440.jpg,Sandstone and pigment,164×180×130 cm,http://anishkapoor.com/4453/passage
Untitled,1993,441.jpg,Limestone and pigment,66×46×30.5 cm,http://anishkapoor.com/5742/untitled-123
Untitled,1993,442.jpg,Marble and pigment,116×76×56 cm,http://anishkapoor.com/5740/untitled-122
Heart,1993,443.jpg,69×47×30 cm,None,http://anishkapoor.com/5737/heart
Untitled,1993,444.jpg,Limestone and pigment,None,http://anishkapoor.com/5735/untitled-121
Untitled,1993,445.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/5732/untitled-120
Red Void III,1993,446.jpg,Fibreglassand pigment,93×93×93 cm,http://anishkapoor.com/5729/red-void-iii
Untitled,1993,447.jpg,Sandstone,132×81×106 cm,http://anishkapoor.com/5727/untitled-119
Bright Mountain,1993,448.jpg,Fibreboard and paint,140×231×147 cm,http://anishkapoor.com/5724/bright-mountain
Untitled,1993,449.jpg,Marble,179×97×120 cm,http://anishkapoor.com/5699/untitled-114
My Body Your Body,1993,450.jpg,Fibreglass and pigment,248×103×205cm,http://anishkapoor.com/85/my-body-your-body
Eyes Turned Inwards,1993,451.jpg,Fibreglass and pigment,Dimensions variable,http://anishkapoor.com/999/eyes-turned-inwards
Untitled,1992,452.jpg,Mixed media,Dimensions variable,http://anishkapoor.com/5373/untitled-102
"Void, XIII",1991–1992,453.jpg,Fibreglass and pigment,163×163×121.5 m,http://anishkapoor.com/5371/void-xiii
Untitled,1992,454.jpg,Sandstone and pigment,195.5×107×90 cm,http://anishkapoor.com/4531/untitled-83
Untitled,1992,455.jpg,"Wood, gold leaf and grease",62×70×36cm,http://anishkapoor.com/123/untitled-61
Descent into Limbo,1992,456.jpg,Concrete and pigment,"600×600×600 cm",http://anishkapoor.com/75/descent-into-limbo
Untitled,1992,457.jpg,Sandstone and pigment,230×122×103 cm,http://anishkapoor.com/72/untitled-62
Dragon,1992,458.jpg,Slate and pigment,Dimensions variable,http://anishkapoor.com/614/dragon
When I am Pregnant,1992,459.jpg,Fibreglass and paint,Dimensions variable,http://anishkapoor.com/86/when-i-am-pregnant
Building for a Void,1992,460.jpg,Concrete and stucco,15 m,http://anishkapoor.com/259/building-for-a-void
Endless Column,1992,461.jpg,Mixed media and pigment,Dimensions variable,http://anishkapoor.com/638/endless-column
Untitled,1989,462.jpg,Granite and pigment,215×87×87 cm,http://anishkapoor.com/5482/untitled-111
Pillar of Light,1991,463.jpg,None,None,http://anishkapoor.com/5480/pillar-of-light
Untitled,1991,464.jpg,Sandstone and pigment,156.2×152.4 cm,http://anishkapoor.com/5478/untitled-110
Mountain,1991,465.jpg,"Fibreglass, earth and pigment",180×205 cm,http://anishkapoor.com/5475/mountain-4
Void XI,1991,466.jpg,Fibreglass and pigment,92×92×77 cm,http://anishkapoor.com/5473/void-xi
"Void, IX",1991,467.jpg,Fibreglass and pigment,129×93×95 cm,http://anishkapoor.com/5369/void-ix
Untitled,1991,468.jpg,Mixed  media,"Dimensions variable",http://anishkapoor.com/4465/untitled-82
The Earth,1991,469.jpg,Fibreglass and pigment,Dimensions variable,http://anishkapoor.com/79/the-earth
Delta,1991,470.jpg,Resin on canvas,214×214 cm,http://anishkapoor.com/567/delta
Untitled,1991,471.jpg,Dimensions variable,None,http://anishkapoor.com/78/untitled-63
Untitled,1990,472.jpg,Limestone,Dimensions variable,http://anishkapoor.com/5454/untitled-109
Void VIII,1990,473.jpg,Fibreglass and pigment,112×112×86 cm,http://anishkapoor.com/5446/void-viii
Untitled,1990,474.jpg,Portland stone,110×75×94 cm,http://anishkapoor.com/5444/untitled-108
Moon,1990,475.jpg,Slate and pigment,52×102×134 cm,http://anishkapoor.com/4592/moon
Oracle,1990,476.jpg,Sandstone and pigment,157×170×170 cm,http://anishkapoor.com/4572/oracle
Black Fire,1990,477.jpg,"Fibreglass, pigment and anthricite",315×508×180 cm,http://anishkapoor.com/771/black-fire
A Wing at the Heart of Things,1990,478.jpg,Slate and pigment,Dimensions variable,http://anishkapoor.com/69/a-wing-at-the-heart-of-things
Angel,1990,479.jpg,Slate and pigment,Dimensions variable,http://anishkapoor.com/68/angel
Three Witches,1990,480.jpg,Limestone and pigment,Dimensions variable,http://anishkapoor.com/71/three-witches
Untitled,1990,481.jpg,Fibreglass and pigment,Dimensions variable,http://anishkapoor.com/63/untitled-64
Untitled,1989,482.jpg,Limestone and pigment,193×200×77 cm,http://anishkapoor.com/5431/untitled-107
Mother as a Ship,1989,483.jpg,Fibreglass and pigment,214.6×116.2×109.2 cm,http://anishkapoor.com/5428/mother-as-a-ship-2
Void IV,1989,484.jpg,Fibreglass and pigment,91.5×91.5×86 cm,http://anishkapoor.com/5426/void-iv
Void III,1989,485.jpg,Fibreglass and pigment,122×122×91 cm,http://anishkapoor.com/5424/void-iii
Untitled,1986,486.jpg,Sandstone and pigment,216×114×58 cm,http://anishkapoor.com/5418/untitled-106
Mother as a Void II,1989,487.jpg,Fibreglass and pigment,130×95×95 cm,http://anishkapoor.com/5416/mother-as-a-void-ii
Tomb,1989,488.jpg,Slate and pigment,48.5×136×392 cm,http://anishkapoor.com/4904/tomb
Not Eve,1989,489.jpg,Sandstone and pigment,213.5×85×86 cm,http://anishkapoor.com/5412/not-eve
Untitled,1989,490.jpg,Fibreglass and pigment,63.5×63.5×43 cm,http://anishkapoor.com/5408/untitled-105
Void II,1988–1989,491.jpg,Fibreglass and pigment,203×203×114 cm,http://anishkapoor.com/5406/void-ii
Moonstone,1989,492.jpg,Slate and pigment,105×129×37 cm,http://anishkapoor.com/5403/moonstone
Void,1989,493.jpg,Fibreglass and pigment,200×200×152.5 cm,http://anishkapoor.com/5365/void-2
Untitled,1989,494.jpg,Gouache and pencil on paper,55,http://anishkapoor.com/815/untitled-65
It Is Man,1989–1990,495.jpg,Sandstone and pigment,241×127×114cm,http://anishkapoor.com/64/it-is-man
Void Field,1989,496.jpg,Cumbrian sandstone and pigment,Dimensions variable,http://anishkapoor.com/73/void-field
The Healing of St Thomas,1989,497.jpg,"Wood, fibreglass and pigment",35×18×2 cm,http://anishkapoor.com/74/the-healing-of-st-thomas
Void,1989,498.jpg,Fibreglass and pigment,200×200×100 cm,http://anishkapoor.com/67/void
Madonna,1989–1990,499.jpg,Fibreglass and pigment,285×285×155 cm,http://anishkapoor.com/65/madonna
Mother as a Ship,1989,500.jpg,Fibreglass and pigment,180×200×120 cm,http://anishkapoor.com/62/mother-as-a-ship
Hole,1988,501.jpg,Fibreglass and pigment,213×213×259 cm,http://anishkapoor.com/5388/hole
Blood Stone,1988,502.jpg,Limestone and pigment,Dimensions variable,http://anishkapoor.com/5386/blood-stone
Sky,1988,503.jpg,None,None,http://anishkapoor.com/4632/sky
Adam,1988–1989,504.jpg,Sandstone and pigment,119×102×236 cm,http://anishkapoor.com/70/adam
Untitled,1988,505.jpg,Gouache on paper,None,http://anishkapoor.com/931/untitled-66
Wound,1988,506.jpg,Stone and pigment,310×475×394 cm,http://anishkapoor.com/640/wound
